team,played,wins,draws,losses,goals_scored,goals_conceded,points
Man City,20,14,3,3,49,19,45
Liverpool,20,13,3,4,48,23,42
Chelsea,20,13,2,5,38,22,41
Arsenal,20,11,5,4,45,17,38
Aston Villa,20,11,5,4,36,27,38
Leeds,20,9,5,6,34,34,32
Nott'm Forest,20,8,6,6,27,22,30
Tottenham,20,8,6,6,27,22,30
Brentford,20,10,0,10,30,26,30
Everton,20,8,5,7,24,19,29
Fulham,20,7,7,6,21,24,28
Man Utd,20,6,5,9,30,38,23
Newcastle,19,5,7,7,29,33,22
Crystal Palace,19,5,7,7,20,26,22
Sunderland,20,5,7,8,24,35,22
Brighton,19,5,4,10,24,32,19
West Ham,20,4,7,9,22,41,19
Wolves,20,4,5,11,15,33,17
Burnley,19,3,3,13,16,40,12
Bournemouth,20,2,2,16,16,42,8
